Age,T_mean,T_upper,T_lower,DpKb,Benthic_DpH
11739,-0.29059,-0.064788,-0.51639,-0.006393670208020068,-0.006394030026876191
13096,-1.2979,-1.0979,-1.4979,-0.0057296838830507525,-0.005728233177708962
13096,-1.2979,-1.0979,-1.4979,-0.0057296838830507525,-0.005729589017734407
13691,-1.1842,-0.94752,-1.4209,-0.006771769811866419,-0.006771546210003647
14109,-1.3402,-1.1748,-1.5055,-0.004739363210283408,-0.004743721537854238
14315,-1.2058,-0.97125,-1.4403,-0.006711522902267276,-0.006709316423563363
14734,-1.026,-0.81504,-1.2369,-0.006023613461528776,-0.006024605631427803
15157,-1.2146,-0.96224,-1.4669,-0.007221806057721741,-0.007224295418483114
15687,-1.6592,-1.4198,-1.8986,-0.0068877088310788665,-0.00688734879657219
18978,-3.0864,-2.7959,-3.3768,-0.008501083283244792,-0.008501083283244792
19670,-2.4128,-2.1189,-2.7066,-0.008530661753307831,-0.00853570172700574
22709,-2.8376,-2.4112,-3.2639,-0.01244102976538835,-0.012432194731316987
22899,-2.8376,-2.4112,-3.2639,-0.01244102976538835,-0.012443427929249372
23438,-2.8376,-2.4112,-3.2639,-0.01244102976538835,-0.012440660331311906
24298,-2.8376,-2.4112,-3.2639,-0.01244102976538835,-0.01244407094382336
24880,-2.8376,-2.4112,-3.2639,-0.01244102976538835,-0.012440077826207844
27915,-2.8376,-2.4112,-3.2639,-0.01244102976538835,-0.012442628492827911
27915,-2.8376,-2.4112,-3.2639,-0.01244102976538835,-0.012441452540093961
30569,-2.8376,-2.4112,-3.2639,-0.01244102976538835,-0.012443192312102402
30569,-2.8376,-2.4112,-3.2639,-0.01244102976538835,-0.012440069993438588
31426,-2.8376,-2.4112,-3.2639,-0.01244102976538835,-0.012438647616534902
34692,-2.8376,-2.4112,-3.2639,-0.01244102976538835,-0.012432980321688998
