Age,T_mean,T_upper,T_lower,DpKb,Planktic_DpH
14108.9,-1.3402,-1.1748,-1.5055,-0.004739363210283408,-0.00474303613069858
14314.9,-1.2058,-0.97125,-1.4403,-0.006711522902267276,-0.006723031282418175
15687.2,-1.6592,-1.4198,-1.8986,-0.0068877088310788665,-0.00689327744020003
17231.5,-2.836,-2.5106,-3.1614,-0.009495048617575975,-0.009502554117480806
22898.9,-2.8376,-2.4112,-3.2639,-0.01244102976538835,-0.01244853526529318
23438.1,-2.8376,-2.4112,-3.2639,-0.01244102976538835,-0.01244853526529318
24297.8,-2.8376,-2.4112,-3.2639,-0.01244102976538835,-0.012444702685803522
24880.0,-2.8376,-2.4112,-3.2639,-0.01244102976538835,-0.01244102976538835
27914.6,-2.8376,-2.4112,-3.2639,-0.01244102976538835,-0.012452538145539248
27914.6,-2.8376,-2.4112,-3.2639,-0.01244102976538835,-0.012444702685803522
