,500m<x<1000m,500m<x<1000m & east of 140W
cal.age,D14C.Shallow.Pacific.North,D14C.Shallow.Pacific.North.East
0,-123.6235005,-104.5155295
10,-122.9777899,-103.7636689
20,-122.401866,-103.099956
30,-121.8882416,-102.5199687
40,-121.4960196,-102.0865453
50,-121.2405463,-101.8085007
60,-121.0430819,-101.5918683
70,-120.8149186,-101.3390174
80,-120.5736247,-101.0716469
90,-120.3364262,-100.8117473
100,-120.1183046,-100.5802977
110,-119.9028955,-100.3625878
120,-119.7965558,-100.2723875
130,-119.8336205,-100.3288147
140,-119.8578012,-100.3446895
150,-119.7868861,-100.2276847
160,-119.4644516,-99.82004078
170,-119.0614953,-99.3286006
180,-118.7782364,-98.97621114
190,-118.5872039,-98.72957065
200,-118.4354277,-98.53334449
210,-118.2576196,-98.32815599
220,-118.1482884,-98.22943435
230,-118.240252,-98.38198652
240,-118.5340877,-98.77290283
250,-118.9172569,-99.26570224
260,-119.3008501,-99.75523295
270,-119.6076261,-100.1533369
280,-119.8897989,-100.514835
290,-120.1419887,-100.828474
300,-120.3071858,-101.0248987
310,-120.4035994,-101.1207658
320,-120.3619535,-101.0410677
330,-120.2140226,-100.8281353
340,-120.0017656,-100.5364234
350,-119.7562053,-100.2095866
360,-119.5731192,-99.95819351
370,-119.4675,-99.80032748
380,-119.4387777,-99.73753143
390,-119.470075,-99.75489567
400,-119.5801449,-99.87483662
410,-119.813363,-100.1432055
420,-120.1582285,-100.5400499
430,-120.5091809,-100.944777
440,-120.8171793,-101.3076509
450,-121.1487729,-101.7047096
460,-121.4986788,-102.1313141
470,-121.8887201,-102.6112909
480,-122.2971171,-103.1177243
490,-122.7458204,-103.6694062
500,-123.2084511,-104.2297839
510,-123.5952314,-104.6975438
520,-123.9261791,-105.0951349
530,-124.19449,-105.4138228
540,-124.4398406,-105.6923287
550,-124.6693659,-105.9303118
560,-124.7646473,-105.9982559
570,-124.6864521,-105.8692915
580,-124.4966521,-105.6331577
590,-124.3703935,-105.4984388
600,-124.4628754,-105.6351696
610,-124.7212839,-105.9761067
620,-125.1067281,-106.4690684
630,-125.5153696,-106.9922352
640,-125.9036366,-107.4949325
650,-126.2949095,-107.9974279
660,-126.6358946,-108.434476
670,-126.9321862,-108.8063904
680,-127.1027369,-109.0245242
690,-127.1111074,-109.059475
700,-127.0454127,-109.018887
710,-127.0267507,-109.0358042
720,-127.1008322,-109.1503328
730,-127.1586833,-109.2353766
740,-127.0940233,-109.1788237
750,-126.943238,-109.0306282
760,-126.8224711,-108.9223547
770,-126.7878836,-108.9082141
780,-126.7929134,-108.926819
790,-126.7673816,-108.8959363
800,-126.6214643,-108.7209539
810,-126.3929612,-108.4510088
820,-126.1981871,-108.2175115
830,-126.0190613,-108.0013803
840,-125.8112128,-107.7585091
850,-125.6490843,-107.5770757
860,-125.5175553,-107.4462279
870,-125.4332654,-107.3895722
880,-125.4949998,-107.5131212
890,-125.671189,-107.7730533
900,-125.8989831,-108.089773
910,-126.1213551,-108.3902765
920,-126.2886871,-108.6175647
930,-126.3216686,-108.6882292
940,-126.2377647,-108.6278502
950,-126.243345,-108.6593742
960,-126.21622,-108.6410422
970,-126.0691712,-108.4816824
980,-125.8886519,-108.2805898
990,-125.6824566,-108.048407
1000,-125.4950691,-107.8352409
1010,-125.2683718,-107.5829114
1020,-125.0294336,-107.3306205
1030,-124.8658002,-107.1776523
1040,-124.8501524,-107.1945615
1050,-124.9420824,-107.3214547
1060,-125.0030206,-107.3963933
1070,-124.9321103,-107.3113693
1080,-124.7491288,-107.0985265
1090,-124.5402448,-106.8610479
1100,-124.376997,-106.6796122
1110,-124.2908198,-106.584707
1120,-124.2517553,-106.538887
1130,-124.179196,-106.4527155
1140,-124.0806973,-106.3442534
1150,-124.0153724,-106.2814219
1160,-123.9971575,-106.2720725
1170,-124.2189044,-106.5100078
1180,-124.309424,-106.5777399
1190,-124.1035247,-106.3149515
1200,-123.9158934,-106.0850637
1210,-123.7817971,-105.9353685
1220,-123.7806671,-105.9536607
1230,-123.8944259,-106.1156031
1240,-124.1290621,-106.4220336
1250,-124.3600285,-106.7333359
1260,-124.5948806,-107.0581065
1270,-124.900007,-107.4627168
1280,-125.2078514,-107.8630034
1290,-125.4733149,-108.2011611
1300,-125.6298648,-108.4027601
1310,-125.6297183,-108.4248919
1320,-125.5097094,-108.320891
1330,-125.4215036,-108.2609862
1340,-125.4519577,-108.3328829
1350,-125.4749013,-108.3914198
1360,-125.4096536,-108.3494796
1370,-125.3325692,-108.2930102
1380,-125.2640848,-108.2424953
1390,-125.1719443,-108.1583557
1400,-125.0742875,-108.0556984
1410,-124.9417134,-107.8994797
1420,-124.6912346,-107.6031316
1430,-124.3612624,-107.2190926
1440,-124.0543761,-106.8683693
1450,-123.7803599,-106.5638725
1460,-123.5844442,-106.3543595
1470,-123.4869692,-106.2587239
1480,-123.3460791,-106.1240408
1490,-123.2164655,-106.0163501
1500,-123.1972021,-106.0413686
1510,-123.2559885,-106.1545721
1520,-123.3283987,-106.2751439
1530,-123.3666091,-106.3445577
1540,-123.3225181,-106.3098655
1550,-123.1371775,-106.1138234
1560,-122.9127707,-105.8759759
1570,-122.7217679,-105.6768187
1580,-122.5441656,-105.4930928
1590,-122.371037,-105.3143378
1600,-122.2230038,-105.1601218
1610,-122.0861651,-105.0103825
1620,-121.925574,-104.8248129
1630,-121.7050644,-104.5655474
1640,-121.4238141,-104.2391473
1650,-121.1036871,-103.882393
1660,-120.8013277,-103.5702276
1670,-120.6210468,-103.4189695
1680,-120.6643681,-103.5269814
1690,-120.835314,-103.7686919
1700,-120.919484,-103.9001483
1710,-120.8946574,-103.8993663
1720,-120.7715555,-103.7812914
1730,-120.6117765,-103.6146703
1740,-120.4371869,-103.423064
1750,-120.1728263,-103.1289894
1760,-119.8657676,-102.7919915
1770,-119.6023383,-102.5092245
1780,-119.3875112,-102.2843165
1790,-119.1947349,-102.0887666
1800,-119.0066348,-101.9043655
1810,-118.8605028,-101.7686956
1820,-118.7956204,-101.7154466
1830,-118.6827492,-101.5994371
1840,-118.4482704,-101.3479745
1850,-118.1684882,-101.0534299
1860,-117.9825904,-100.8676887
1870,-117.8583569,-100.7472043
1880,-117.6950778,-100.5796095
1890,-117.5047739,-100.3819368
1900,-117.2659331,-100.1355144
1910,-117.0622139,-99.93412117
1920,-116.9430199,-99.82539758
1930,-116.8155371,-99.70148272
1940,-116.6495564,-99.53023002
1950,-116.4125157,-99.28297665
1960,-116.1264969,-98.99321731
1970,-115.9440138,-98.82760223
1980,-115.8746106,-98.78344651
1990,-115.8190353,-98.73976921
2000,-115.6684265,-98.57653832
2010,-115.3606307,-98.23668037
2020,-115.0024079,-97.84871593
2030,-114.7348969,-97.56753137
2040,-114.5473306,-97.37440287
2050,-114.3483494,-97.1660386
2060,-114.1065509,-96.91171117
2070,-113.8538609,-96.65140291
2080,-113.6153155,-96.41568796
2090,-113.4378155,-96.25513639
2100,-113.3111166,-96.15215472
2110,-113.1967445,-96.0602694
2120,-113.0712424,-95.95248617
2130,-112.8798458,-95.76753958
2140,-112.7076399,-95.59560182
2150,-112.562501,-95.43863768
2160,-112.282563,-95.11827937
2170,-111.9442136,-94.72343588
2180,-111.6223701,-94.33719299
2190,-111.2294689,-93.86543754
2200,-110.8450987,-93.3991514
2210,-110.5004035,-92.97425567
2220,-110.1154733,-92.50970393
2230,-109.7577657,-92.08744417
2240,-109.507324,-91.79810183
2250,-109.3266902,-91.60395201
2260,-109.1818769,-91.47535451
2270,-109.1486645,-91.4984744
2280,-109.298153,-91.74196203
2290,-109.5653728,-92.11991457
2300,-109.8013075,-92.461997
2310,-109.9331577,-92.69106511
2320,-110.0240075,-92.87753373
2330,-110.1471841,-93.09304775
2340,-110.2597955,-93.2771606
2350,-110.2426169,-93.29247663
2360,-110.0276606,-93.06981752
2370,-109.6556191,-92.6661769
2380,-109.2189594,-92.19291499
2390,-108.8049251,-91.74920041
2400,-108.4502903,-91.37319688
2410,-108.1130342,-91.0157108
2420,-107.7687584,-90.64990248
2430,-107.4252699,-90.2860663
2440,-107.0715829,-89.9137213
2450,-106.7322894,-89.56110621
2460,-106.4444978,-89.26816084
2470,-106.1586768,-88.97717106
2480,-105.8904902,-88.70148601
2490,-105.6693681,-88.46658916
2500,-105.3592268,-88.12142874
2510,-104.9827903,-87.69634008
2520,-104.6069039,-87.26549518
2530,-104.2303721,-86.82610119
2540,-103.8736393,-86.40036844
2550,-103.4681903,-85.91535987
2560,-103.0610421,-85.42606241
2570,-102.716361,-85.00364637
2580,-102.3690811,-84.58225392
2590,-102.0384728,-84.18826524
2600,-101.8356483,-83.93826399
2610,-101.7988009,-83.86239213
2620,-101.6762517,-83.68447106
2630,-101.40713,-83.35684905
2640,-101.2350848,-83.15949972
2650,-101.2087649,-83.14535329
2660,-101.3263969,-83.30812237
2670,-101.5221777,-83.57102748
2680,-101.7512616,-83.88257778
2690,-102.0344688,-84.26278058
2700,-102.3255114,-84.65647604
2710,-102.5956284,-85.02916944
2720,-102.8649857,-85.40013414
2730,-103.0822109,-85.70831574
2740,-103.2495602,-85.95153525
2750,-103.3953709,-86.1549597
2760,-103.4013608,-86.18732348
2770,-103.2744755,-86.06142185
2780,-103.1010464,-85.87584358
2790,-102.8576209,-85.6088168
2800,-102.5583656,-85.28364761
2810,-102.2640269,-84.97480768
2820,-102.0083772,-84.72256452
2830,-101.8454304,-84.58159924
2840,-101.7886809,-84.55633562
2850,-101.7251476,-84.51472027
2860,-101.5730765,-84.36598204
2870,-101.3806272,-84.1639771
2880,-101.1429916,-83.90586728
2890,-100.8197282,-83.55511933
2900,-100.4822988,-83.19761516
2910,-100.2251343,-82.93612938
2920,-100.0348476,-82.75124903
2930,-99.84683971,-82.56994235
2940,-99.64864369,-82.37657309
2950,-99.47952204,-82.20970047
2960,-99.30085687,-82.02450117
2970,-99.02066139,-81.72466581
2980,-98.70675023,-81.38945301
2990,-98.47114319,-81.13877929
3000,-98.24178666,-80.88976441
3010,-97.93204369,-80.55108946
3020,-97.61841437,-80.21213584
3030,-97.3480833,-79.92582063
3040,-97.09157343,-79.66004442
3050,-96.88636949,-79.45252625
3060,-96.73775068,-79.29973346
3070,-96.57637991,-79.12160519
3080,-96.31283057,-78.82476807
3090,-95.95712386,-78.42931023
3100,-95.6820082,-78.1279072
3110,-95.462049,-77.89074339
3120,-95.20042906,-77.61434443
3130,-95.00323632,-77.41664373
3140,-94.89242659,-77.31578744
3150,-94.78332118,-77.21321779
3160,-94.67061634,-77.09990031
3170,-94.52192619,-76.94113981
3180,-94.3046383,-76.70685936
3190,-94.06953019,-76.45705796
3200,-93.90964031,-76.29122864
3210,-93.79891568,-76.17410274
3220,-93.63662457,-75.99390763
3230,-93.45301987,-75.78524282
3240,-93.27729312,-75.57891161
3250,-93.09843826,-75.35981511
3260,-92.88885772,-75.09795465
3270,-92.63081018,-74.78046107
3280,-92.31133766,-74.40515977
3290,-92.0303185,-74.09265052
3300,-91.8923779,-73.95823984
3310,-91.88631164,-73.98239436
3320,-91.9738912,-74.11453385
3330,-92.07059304,-74.25689264
3340,-92.13095256,-74.35890893
3350,-92.17857677,-74.44545151
3360,-92.22661984,-74.52784479
3370,-92.23345148,-74.55869955
3380,-92.18276363,-74.52103482
3390,-92.09916824,-74.44271589
3400,-91.97903618,-74.32187778
3410,-91.80413687,-74.14639294
3420,-91.6029834,-73.95571348
3430,-91.48446277,-73.86770345
3440,-91.50786064,-73.93356198
3450,-91.53343754,-73.98871578
3460,-91.42472422,-73.88474896
3470,-91.2121805,-73.66054254
3480,-91.01655037,-73.44920899
3490,-90.80743206,-73.21511588
3500,-90.49882724,-72.86893174
3510,-90.18104588,-72.51723963
3520,-89.87643699,-72.18850007
3530,-89.60574866,-71.90806546
3540,-89.42105481,-71.73010066
3550,-89.29031029,-71.61166374
3560,-89.19504778,-71.52446055
3570,-89.05989622,-71.38121768
3580,-88.81602157,-71.11077162
3590,-88.51391571,-70.77637718
3600,-88.19817067,-70.43237541
3610,-87.93281379,-70.15025097
3620,-87.72846126,-69.9360623
3630,-87.54871531,-69.74286657
3640,-87.35860309,-69.53077683
3650,-87.05258737,-69.19364685
3660,-86.69147492,-68.81109539
3670,-86.46517885,-68.5889913
3680,-86.39963157,-68.54040928
3690,-86.32470468,-68.46883398
3700,-86.11079468,-68.23349995
3710,-85.85423671,-67.94354594
3720,-85.62439791,-67.67225188
3730,-85.30726588,-67.2978932
3740,-84.90502758,-66.833754
3750,-84.55818118,-66.43756813
3760,-84.31479011,-66.15563272
3770,-84.09612414,-65.89892748
3780,-83.78958276,-65.55395072
3790,-83.45192757,-65.1973643
3800,-83.27830323,-65.04361126
3810,-83.29911869,-65.11034518
3820,-83.3775177,-65.23110918
3830,-83.37865566,-65.25232838
3840,-83.25207204,-65.12347502
3850,-83.03068895,-64.88899
3860,-82.79393753,-64.64127567
3870,-82.59698451,-64.43973404
3880,-82.42067639,-64.2589879
3890,-82.24011062,-64.06956674
3900,-82.02870848,-63.84301218
3910,-81.77552962,-63.56777756
3920,-81.53470029,-63.30385648
3930,-81.27352024,-63.01868116
3940,-80.93371148,-62.65657066
3950,-80.66669387,-62.38650799
3960,-80.5418809,-62.27323825
3970,-80.43570929,-62.16940258
3980,-80.28023905,-61.99537635
3990,-80.02285907,-61.69495998
4000,-79.67382149,-61.28519101
4010,-79.29151249,-60.83639244
4020,-78.88204811,-60.36303261
4030,-78.47277588,-59.90405442
4040,-78.13822262,-59.54543766
4050,-77.92950175,-59.34019094
4060,-77.82434235,-59.25568682
4070,-77.76354187,-59.21668247
4080,-77.71273255,-59.17635401
4090,-77.59443687,-59.04656772
4100,-77.31934612,-58.73804676
4110,-76.95368502,-58.33860308
4120,-76.63269014,-58.00362785
4130,-76.43845299,-57.81478044
4140,-76.36871172,-57.7532656
4150,-76.26934094,-57.64083485
4160,-75.9802348,-57.3073825
4170,-75.60485451,-56.87676177
4180,-75.26985343,-56.49263082
4190,-74.90633659,-56.08492439
4200,-74.54560928,-55.69499247
4210,-74.32080367,-55.46568007
4220,-74.21277347,-55.36326646
4230,-74.10940181,-55.25540473
4240,-73.94181829,-55.06419223
4250,-73.68137072,-54.76361908
4260,-73.36037904,-54.39754489
4270,-73.05095214,-54.04806954
4280,-72.82375283,-53.78789091
4290,-72.64512966,-53.57250348
4300,-72.39348673,-53.26871389
4310,-72.07501737,-52.89235088
4320,-71.75306416,-52.52158007
4330,-71.48175006,-52.21807233
4340,-71.3208131,-52.0432195
4350,-71.21497718,-51.93238712
4360,-71.05798983,-51.77245125
4370,-70.90146448,-51.6269309
4380,-70.82985113,-51.589306
4390,-70.82434375,-51.63178639
4400,-70.89116618,-51.7484606
4410,-70.98024477,-51.87251614
4420,-70.91911526,-51.81239867
4430,-70.69881026,-51.56379522
4440,-70.46709586,-51.29150276
4450,-70.16318035,-50.93221555
4460,-69.73583335,-50.44267
4470,-69.33395298,-49.99787212
4480,-69.02859506,-49.67864767
4490,-68.83426153,-49.49761388
4500,-68.75335765,-49.44669331
4510,-68.74108502,-49.46256494
4520,-68.69953688,-49.42895101
4530,-68.49226341,-49.20054889
4540,-68.15503168,-48.82978358
4550,-67.8265451,-48.47523536
4560,-67.57144238,-48.20299403
4570,-67.37287302,-47.98670042
4580,-67.12468141,-47.70918643
4590,-66.78632043,-47.33245203
4600,-66.46462423,-46.97599753
4610,-66.22309916,-46.70454291
4620,-65.97912571,-46.42334569
4630,-65.67551086,-46.06951378
4640,-65.38997527,-45.72684905
4650,-65.10369895,-45.37383145
4660,-64.71594765,-44.90853965
4670,-64.31194942,-44.43430469
4680,-64.04030344,-44.11133065
4690,-63.89195025,-43.91873936
4700,-63.73785497,-43.7089035
4710,-63.52554049,-43.42500701
4720,-63.30389606,-43.1224691
4730,-63.06397685,-42.79656643
4740,-62.75206042,-42.40265052
4750,-62.44192096,-42.03925611
4760,-62.2990574,-41.89477275
4770,-62.3778871,-42.02220166
4780,-62.60513725,-42.33056414
4790,-62.88513169,-42.70837908
4800,-63.16764541,-43.09722811
4810,-63.45287204,-43.49236884
4820,-63.74741243,-43.89277927
4830,-63.99099654,-44.22443204
4840,-64.11777553,-44.41154993
4850,-64.13958745,-44.46565874
4860,-64.06282367,-44.39260897
4870,-63.86592726,-44.1713102
4880,-63.55287006,-43.81339623
4890,-63.17138899,-43.37920454
4900,-62.79266155,-42.95128991
4910,-62.44471006,-42.56180481
4920,-62.10820042,-42.19260185
4930,-61.7869661,-41.85141456
4940,-61.52969271,-41.5908533
4950,-61.37195187,-41.44205484
