/* DATA DESCRIPTION:
Citation:	Rae, James W B; Sarnthein, Michael; Foster, Gavin L; Ridgwell, Andy; Grootes, Pieter Meiert; Elliott, Tim (2014): (Table 4) Atmospheric 14C record used for calculating foram-atmosphere reservoir ages. PANGAEA, https://doi.org/10.1594/PANGAEA.833525, 
	In supplement to: Rae, JWB et al. (2014): Deep water formation in the North Pacific and deglacial CO2 rise. Paleoceanography, 29(6), 645-667, https://doi.org/10.1002/2013PA002570
Further details:	Reimer, Paula J; Baillie, Mike G L; Bard, Edouard; Bayliss, Alex; Beck, J Warren; Blackwell, Paul G; Ramsey, Christopher Bronk; Burr, George S; Edwards, R Lawrence; Friedrich, Michael; Grootes, Pieter Meiert; Guilderson, Thomas P; Hajdas, Irena; Heaton, T J; Hogg, Alan G; Hughen, Konrad A; Kaiser, Klaus-Felix; Kromer, Bernd; McCormac, F Gerry; Manning, Sturt W; Reimer, Ron W; Richards, David A; Southon, John R; Talamo, Sahra; Turney, Chris S M; van der Plicht, Johannes; Weyhenmeyer, Constanze E (2009): IntCal09 and Marine09 Radiocarbon Age Calibration Curves, 0-50,000 Years cal BP. Radiocarbon, 51(4), 1111-1150, https://doi.org/10.1017/S0033822200034202
	Southon, John; Noronha, Alexandra L; Cheng, Hai; Edwards, R Lawrence; Wang, Yongjin (2012): A high-resolution record of atmospheric 14C based on Hulu Cave speleothem H82. Quaternary Science Reviews, 33, 32-41, https://doi.org/10.1016/j.quascirev.2011.11.022
Comment:	Based on IntCal09 from 0-15 and 26-50 kyr BP, and Southon et al. 2012's Hulu Cave 14C record from 15-26 kyr BP.
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	Age, dated [ka] (Age dated) * PI: Rae, James W B (https://orcid.org/0000-0003-3904-2526, jwbr@st-andrews.ac.uk, http://earthsci.st-andrews.ac.uk/profile_jwbr.aspx) * METHOD/DEVICE: Age, 14C conventional
	Age, error [±] (Age e) * PI: Rae, James W B (https://orcid.org/0000-0003-3904-2526, jwbr@st-andrews.ac.uk, http://earthsci.st-andrews.ac.uk/profile_jwbr.aspx) * METHOD/DEVICE: Age, 14C conventional * COMMENT: 1 sigma
	Δ14C [‰] (Δ14C) * PI: Rae, James W B (https://orcid.org/0000-0003-3904-2526, jwbr@st-andrews.ac.uk, http://earthsci.st-andrews.ac.uk/profile_jwbr.aspx)
	Δ14C, standard deviation [±] (Δ14C std dev) * PI: Rae, James W B (https://orcid.org/0000-0003-3904-2526, jwbr@st-andrews.ac.uk, http://earthsci.st-andrews.ac.uk/profile_jwbr.aspx)
	Reference/source (Reference) * PI: Rae, James W B (https://orcid.org/0000-0003-3904-2526, jwbr@st-andrews.ac.uk, http://earthsci.st-andrews.ac.uk/profile_jwbr.aspx)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	15415 data points
*/
Age [ka BP]	Age dated [ka]	Age e [±]	Δ14C [‰]	Δ14C std dev [±]	Reference
50.000	46.400	0.415	312.9	67.8	IntCal09
49.900	46.316	0.410	310.8	66.9	IntCal09
49.800	46.229	0.403	309.1	65.7	IntCal09
49.700	46.135	0.396	308.6	64.5	IntCal09
49.600	46.036	0.389	308.9	63.4	IntCal09
49.500	45.933	0.380	309.9	62.0	IntCal09
49.400	45.822	0.368	312.1	60.1	IntCal09
49.300	45.708	0.354	314.9	57.9	IntCal09
49.200	45.600	0.340	316.6	55.7	IntCal09
49.100	45.522	0.339	313.5	55.4	IntCal09
49.000	45.452	0.340	309.1	55.4	IntCal09
48.900	45.382	0.338	304.6	54.9	IntCal09
48.800	45.306	0.332	301.2	53.8	IntCal09
48.700	45.230	0.325	297.8	52.5	IntCal09
48.600	45.150	0.313	295.0	50.5	IntCal09
48.500	45.069	0.298	292.4	47.9	IntCal09
48.400	44.993	0.285	289.0	45.7	IntCal09
48.300	44.924	0.273	284.5	43.7	IntCal09
48.200	44.868	0.269	277.9	42.8	IntCal09
48.100	44.844	0.284	266.3	44.8	IntCal09
48.000	44.810	0.300	256.4	46.9	IntCal09
47.900	44.769	0.312	247.7	48.5	IntCal09
47.800	44.724	0.321	239.6	49.5	IntCal09
47.700	44.674	0.328	232.3	50.3	IntCal09
47.600	44.620	0.330	225.7	50.4	IntCal09
47.500	44.564	0.330	219.4	50.1	IntCal09
47.400	44.504	0.330	213.8	49.9	IntCal09
47.300	44.441	0.329	208.7	49.5	IntCal09
47.200	44.375	0.329	204.0	49.3	IntCal09
47.100	44.306	0.330	199.8	49.3	IntCal09
47.000	44.232	0.332	196.3	49.4	IntCal09
46.900	44.150	0.335	194.1	49.8	IntCal09
46.800	44.060	0.341	193.0	50.6	IntCal09
46.700	43.960	0.346	193.4	51.4	IntCal09
46.600	43.848	0.350	195.6	52.1	IntCal09
46.500	43.726	0.355	199.3	53.0	IntCal09
46.400	43.596	0.357	204.2	53.5	IntCal09
46.300	43.459	0.359	210.2	54.1	IntCal09
46.200	43.317	0.360	217.0	54.5	IntCal09
46.100	43.170	0.361	224.6	55.0	IntCal09
46.000	43.019	0.361	232.8	55.4	IntCal09
45.900	42.862	0.359	242.0	55.5	IntCal09
45.800	42.700	0.358	252.1	55.8	IntCal09
45.700	42.536	0.354	262.5	55.6	IntCal09
45.600	42.375	0.354	272.6	56.1	IntCal09
45.500	42.217	0.353	282.3	56.3	IntCal09
45.400	42.060	0.348	291.9	56.0	IntCal09
45.300	41.904	0.339	301.3	54.9	IntCal09
45.200	41.751	0.325	310.4	53.0	IntCal09
45.100	41.600	0.311	319.2	51.1	IntCal09
45.000	41.453	0.292	327.4	48.3	IntCal09
44.900	41.310	0.276	335.0	45.9	IntCal09
44.800	41.164	0.270	343.2	45.1	IntCal09
44.700	41.014	0.274	352.0	46.1	IntCal09
44.600	40.859	0.276	361.8	46.8	IntCal09
44.500	40.698	0.277	372.7	47.3	IntCal09
