latitude,longitude,water.depth,cal.age,cal.age.err,depth.dated.top,depth.date.bottom,depth.dated.mid,station,proxy.14C.age,proxy.14c.age.err,ams.ID.benthic,proxy.D14C,proxy.D14C.err,site.name,ref.,chro.meth,chro.meth.details,planktic.species,planktic.14C.age,planktic.14C.age.err,ams.ID.planktic,planktic.D14C,planktic.D14C.err,Delta-R,Delta-R.err,calib.method ,loc.sample,benthic.species,notes,cal.age rounded to nearest 10,atmospheric D14C,atmospheric D14C error,atmos.14C.age [yr BP],atmos 14C age.err [yr BP],EPSILON.14C [per mil],EPSILON.14C.err [per mil],DD14C.atmos-fossil,DD14C.atmos-fossil.err,DELTA14Cage.atmos,DELTA14Cage.atmos.err,DD14Cage.ocim,DD14Cage.ocim.err,DD14C.ocim,DD14C.ocim.err,14C.age.OCIM,14C.age.OCIM.err,D14C.OCIM,D14C.OCIM.err,D14C.OCIM.2.degrees,D14C.OCIM.2.degrees.err,DD14C,DELTA14Cage.atmos.raw,DELTA14Cage.atmos.raw.err,benthic-planktic.14C.age,benthic-planktic.14C.age.err,benthic-planktic.D14C,benthic-planktic.D14C.err,Holocene (<11.5 kyr BP),YD (12.8 to 11.5 kyr BP),BA (14.7 to 12.8 kyr BP) (timing = Marcott 2014),HS1 (18 to 14.7 kyr BP) (timing = Marcott 2014),LGM (23 to 18 kyr BP) (timing = Marcott 2014),pre-LGM (50 to 23 kyr BP),deglaciation (18 to 11.5 kyr BP),Antarctic Cold Reversal (14.5 to 12.5 kyr),Allerød (only),Bølling (only),late HS1 (16.25 to 14.7 kyr BP) (CO2 levels off),early HS1 (18 to 16.25 kyr BP) (first rise in CO2),ocean mask,region,Pacific (1=YES),Atlantic (1=YES),Indian (1=YES),Southern (1=YES),age.model.interpolation,note (anomalous data-removed),note (anomalous data-removed),note (anomalous data-removed),note (anomalous data-removed), OCIM basin (1 = ATL; 2=PAC; 3=IND; 4=SOc (>40S); 0=Arctic),DIC D14C.For.Correction,DIC D14C.For.Correction.err,age model (nearest 1000),calendar age (nearest 500),Age.Model.Type,750-2000 m Regional D14C average,750-2000 m Regional 14C age average,750-2000 m Regional D14C stdev,750-2000 m Regional 14C age stdev,>2000 m Regional D14C average,>2000 m Regional 14C age average,>2000 m Regional D14C stdev,>2000 m Regional 14C age stdev,14C age corrected for local bias from regional mean,14C age stdev corrected for local bias from regional mean,D14C.bias.correct,D14C.bias.correct.err,"ocean volume weighting (1000-2000 m) (SoHemi+Indian, North Pac, North Atl)","ocean volume weighting (>2000 m) (SoHemi+Indian, North Pac, North Atl)",global.sort (1=NA; 2=NP; 3=SH;4=SO),water.depthadj,volwt.40S,HS2,neutral.density,simple count,threesigma1,using0.not1.not2,sed.rate,DIC.D14C,DIC.D14C.err,DIC.D14C.age,DIC.D14C.age.err
42,-29,1756.5,12910,120,-999,-999,-999,1,11860,60,LLNL,89,14,North Atlantic Seamounts,Adkins et al. (1998),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,Solenosmilia sp.,JFA17water depth 1684-1829m,12910,209.5,3.1,11017,21,-99.66312595,14.05355502,-120.5425508,14.05355502,1155.765272,63.5688603,292.6448467,62.84321994,-40.40255084,13.90341724,11567.35515,18.6887745,129.36,2.3265,129.36,2.3265,-879.4574492,843,63.5688603,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,1,1,1,-999,-999,-999,Atlantic,North,-999,1,-999,-999,-999,-999,-999,-999,-999,1,-70.36,8.6635,13000,13000,U-Th,-105.86,898.8357984,16.28,129.7241277,-119.48,1022.140103,0,0,12172.76527,147.0715139,53.45744916,21.28217115,0.12346092,0.108217402,1,1756.5,1,-999,27.86,1,0,0,-999,-77,2,643.6525153,16.04995539
42,-29,1756.5,13690,220,-999,-999,-999,1,12120,60,LLNL,159,13,North Atlantic Seamounts,Adkins et al. (1998),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,JFA2,13690,200.3,3.8,11836,25,-34.74813305,13.80416182,-41.7081841,13.80416182,596.7652724,65,-195.4672318,84.64296665,27.8518159,15.21027548,12315.46723,59.7028626,130.74,7.4322,130.74,7.4322,-958.2918159,284,65,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,1,1,1,-999,-999,-999,Atlantic,North,-999,1,-999,-999,-999,-999,-999,-999,-999,1,-70.36,8.6635,14000,13500,U-Th,-105.86,898.8357984,16.28,129.7241277,-119.48,1022.140103,0,0,12432.76527,147.0715139,123.0918159,21.00364929,0.12346092,0.108217402,1,1756.5,1,-999,27.86,2,0,0,-999,-77,2,643.6525153,16.04995539
38,-62,1954,15510,230,-999,-999,-999,1,13980,40,LLNL,145,7,North Atlantic Seamounts,Adkins et al. (1998),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,D. cristagalli,JFA20.10 bottom,15510,303.5,7.3,12942,45,-121.2370531,10.12670752,-158.0324988,10.12670752,1340.865253,60.20797289,450.4197243,86.78791755,-66.06249876,11.8823377,13529.58028,77.020404,211.53,9.588,211.53,9.588,-841.9675012,1038,60.20797289,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,1,-999,-999,-999,1,-999,Atlantic,North,-999,1,-999,-999,-999,-999,-999,-999,-999,1,-71.505,2.8889,16000,15500,U-Th,-105.86,898.8357984,16.28,129.7241277,-119.48,1022.140103,0,0,14282.86525,131.7776188,111.1125012,17.72846878,0.12346092,0.108217402,1,1954,1,-999,27.97,3,0,0,-999,-79.93,2,669.1932813,16.04995539
38,-62,1954,15410,230,-999,-999,-999,1,14120,40,LLNL,112,36,North Atlantic Seamounts,Adkins et al. (1998),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,D. cristagalli,JFA20.10 top,15410,293.8,6.5,12905,40,-140.4060638,37.06031087,-181.6573653,37.06031087,1517.865253,56.56854249,664.4819935,89.94659549,-95.90736531,37.83909992,13455.51801,80.562957,208.05,10.029,208.05,10.029,-818.3426347,1215,56.56854249,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,1,-999,-999,-999,1,-999,Atlantic,North,-999,1,-999,-999,-999,-999,-999,-999,-999,1,-71.505,2.8889,15000,15500,U-Th,-105.86,898.8357984,16.28,129.7241277,-119.48,1022.140103,0,0,14422.86525,131.7776188,77.78763469,39.9531606,0.12346092,0.108217402,1,1954,1,-999,27.97,4,0,0,-999,-79.93,2,669.1932813,16.04995539
38,-60,1784,15500,110,-999,-999,-999,1,14060,40,LLNL,133,21,North Atlantic Seamounts,Adkins et al. (1998),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,D. cristagalli,JFA24.19 bottom,15500,302.9,7.2,12936,44,-130.5967703,21.92949477,-170.1545321,21.92949477,1427.929334,59.46427499,551.1356996,49.94994383,-80.44453208,21.04595938,13508.8643,29.9164986,213.19,3.7242,213.19,3.7242,-829.8454679,1124,59.46427499,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,1,-999,-999,-999,1,-999,Atlantic,North,-999,1,-999,-999,-999,-999,-999,-999,-999,1,-71.382,3.3119,16000,15500,U-Th,-105.86,898.8357984,16.28,129.7241277,-119.48,1022.140103,0,0,14363.92933,132.4152985,98.26746792,26.3457993,0.12346092,0.108217402,1,1784,1,-999,27.95,5,0,0,-999,-79.93,2,669.1932813,16.04995539
38,-60,1784,15400,110,-999,-999,-999,1,14500,50,LLNL,59,21,North Atlantic Seamounts,Adkins et al. (1998),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,D. cristagalli,JFA24.19 top,15400,292.6,6.3,12902,39,-180.3531758,21.6308911,-233.124515,21.6308911,1901.929334,63.41135545,1065.229632,64.56832213,-150.234515,21.30893736,13434.77037,40.8542314,209.71,5.0858,209.71,5.0858,-766.875485,1598,63.41135545,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,1,-999,-999,-999,1,-999,Atlantic,North,-999,1,-999,-999,-999,-999,-999,-999,-999,1,-71.382,3.3119,15000,15500,U-Th,-105.86,898.8357984,16.28,129.7241277,-119.48,1022.140103,0,0,14803.92933,132.4152985,24.99748496,26.3295243,0.12346092,0.108217402,1,1784,1,-999,27.95,6,0,0,-999,-79.93,2,669.1932813,16.04995539
38,-60,1784,15510,170,-999,-999,-999,1,13850,40,LLNL,164,30,North Atlantic Seamounts,Adkins et al. (1998),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,D. cristagalli,JFA24.8 bottom,15510,303.5,7.3,12942,45,-106.9001217,30.62227768,-139.3443087,30.62227768,1211.929334,60.20797289,331.8822364,62.21917536,-49.10430865,30.32541541,13518.11776,47.6573791,213.26,5.9327,213.26,5.9327,-860.6556913,908,60.20797289,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,1,-999,-999,-999,1,-999,Atlantic,North,-999,1,-999,-999,-999,-999,-999,-999,-999,1,-71.382,3.3119,16000,15500,U-Th,-105.86,898.8357984,16.28,129.7241277,-119.48,1022.140103,0,0,14153.92933,132.4152985,129.6776913,33.90386837,0.12346092,0.108217402,1,1784,1,-999,27.95,7,0,0,-999,-79.93,2,669.1932813,16.04995539
38,-60,1784,15410,170,-999,-999,-999,1,14520,40,LLNL,58,27,North Atlantic Seamounts,Adkins et al. (1998),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,D. cristagalli,JFA24.8 top,15410,293.8,6.5,12905,40,-182.1609856,27.80119404,-235.6798832,27.80119404,1918.929334,56.56854249,1075.778298,68.91705735,-151.6298832,27.91889643,13444.2217,56.1209479,209.75,6.9863,209.75,6.9863,-764.3201168,1615,56.56854249,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,1,-999,-999,-999,1,-999,Atlantic,North,-999,1,-999,-999,-999,-999,-999,-999,-999,1,-71.382,3.3119,15000,15500,U-Th,-105.86,898.8357984,16.28,129.7241277,-119.48,1022.140103,0,0,14823.92933,132.4152985,23.64211679,31.55463184,0.12346092,0.108217402,1,1784,1,-999,27.95,8,0,0,-999,-79.93,2,669.1932813,16.04995539
38,-60,1784,15360,400,-999,-999,-999,1,14090,60,LLNL,110,62,North Atlantic Seamounts,Adkins et al. (1998),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,D. cristagalli,JFA24C,15360,288.8,6.6,12887,41,-139.0653221,62.35693278,-179.2273871,62.35693278,1506.929334,72.6704892,679.4086376,125.0633603,-97.92738707,63.49348523,13410.59136,109.73078,207.5,13.66,207.5,13.66,-820.7726129,1203,72.6704892,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,1,-999,-999,-999,1,-999,Atlantic,North,-999,1,-999,-999,-999,-999,-999,-999,-999,1,-71.382,3.3119,15000,15500,U-Th,-105.86,898.8357984,16.28,129.7241277,-119.48,1022.140103,0,0,14393.92933,132.4152985,75.09461293,64.10823244,0.12346092,0.108217402,1,1784,1,-999,27.95,9,0,0,-999,-79.93,2,669.1932813,16.04995539
41.1,142.4,1366,2980,153.5,17,19,18,2,4660,80,NOSAMS/IAA,-197,23,MR01-K03 PC4/5,Ahagon et al. (2003),3,-999,N. pachyderma (s.),3290,80,-999,-47.90573074,9.52920166,0,0,2,17-19,Mixed BF,-999,2980,2.8,2,2873,16,-199.4320052,22.99178258,-199.9904148,22.99178258,1773.00887,81.58431222,176.0690893,204.4948838,-17.79041484,32.76420684,4483.930911,188.197124,-179.4,23.428,-179.4,23.428,-800.0095852,1787,81.58431222,1370,113.137085,-149.2846841,24.80781632,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,Pacific,North,1,-999,-999,-999,-999,-999,-999,-999,-999,2,-214.1,2.1,3000,3000,PF 14C,-212.73,1921.365188,26.7,211.6677452,-209.34,1886.849193,0,0,4646.00887,212.3374936,-195.8204148,35.1782897,0.229169861,0.262995053,2,1366,2,-999,27.7082088,10,0,0,17.59755164,-210.2,2,1895.591434,16.04995539
