Longitude	Latitude	Potential Vorticity Q [10~^-~^1~^2 m~^-~^1 s~^-~^1] @ Depth [m]=500
165.500000	-77.500000	1.43615
-178.500000	-77.500000	143.42401
-177.500000	-77.500000	140.00450
-176.500000	-77.500000	141.90547
-175.500000	-77.500000	142.74013
-174.500000	-77.500000	142.62346
-173.500000	-77.500000	141.91342
-172.500000	-77.500000	139.59661
-171.500000	-77.500000	138.56357
-170.500000	-77.500000	135.32717
-169.500000	-77.500000	131.63433
-168.500000	-77.500000	127.68596
-167.500000	-77.500000	124.16577
-163.500000	-77.500000	37.19269
-162.500000	-77.500000	30.02530
-161.500000	-77.500000	31.15907
-160.500000	-77.500000	24.42153
-42.500000	-77.500000	24.25436
-41.500000	-77.500000	27.77269
-40.500000	-77.500000	25.35711
-39.500000	-77.500000	21.67081
-38.500000	-77.500000	21.34043
-37.500000	-77.500000	23.39688
-36.500000	-77.500000	26.39605
-35.500000	-77.500000	28.55962
164.500000	-76.500000	19.96175
165.500000	-76.500000	15.29616
166.500000	-76.500000	22.67409
167.500000	-76.500000	22.75791
168.500000	-76.500000	17.83068
169.500000	-76.500000	16.57995
170.500000	-76.500000	16.81284
171.500000	-76.500000	18.68253
172.500000	-76.500000	26.10338
173.500000	-76.500000	22.96943
-185.500000	-76.500000	26.77901
-183.500000	-76.500000	344.34470
-181.500000	-76.500000	28.10160
-179.500000	-76.500000	158.33728
-178.500000	-76.500000	173.89357
-177.500000	-76.500000	165.79490
-176.500000	-76.500000	159.21767
-175.500000	-76.500000	178.35091
-174.500000	-76.500000	207.72469
-173.500000	-76.500000	217.10417
-171.500000	-76.500000	117.18234
-170.500000	-76.500000	48.65489
-168.500000	-76.500000	53.76862
-164.500000	-76.500000	46.11060
-163.500000	-76.500000	36.15573
-162.500000	-76.500000	35.75436
-161.500000	-76.500000	40.74206
-160.500000	-76.500000	59.58698
-157.500000	-76.500000	48.04481
-154.500000	-76.500000	5.96028
-153.500000	-76.500000	2.65642
-39.500000	-76.500000	25.61021
-38.500000	-76.500000	23.03693
-37.500000	-76.500000	14.91624
-36.500000	-76.500000	13.10505
-35.500000	-76.500000	20.02647
-34.500000	-76.500000	18.50907
-33.500000	-76.500000	26.05922
-32.500000	-76.500000	25.27957
164.500000	-75.500000	52.32710
165.500000	-75.500000	27.48953
166.500000	-75.500000	38.85013
167.500000	-75.500000	43.51849
170.500000	-75.500000	13.67592
171.500000	-75.500000	14.07963
172.500000	-75.500000	17.58711
173.500000	-75.500000	11.25970
-181.500000	-75.500000	98.44886
-180.500000	-75.500000	123.27166
-179.500000	-75.500000	121.61535
-177.500000	-75.500000	206.70980
-176.500000	-75.500000	166.10124
-175.500000	-75.500000	229.25245
-174.500000	-75.500000	110.09172
-173.500000	-75.500000	105.02549
-172.500000	-75.500000	98.04652
-171.500000	-75.500000	1.88925
-170.500000	-75.500000	0.39296
-169.500000	-75.500000	0.95929
-168.500000	-75.500000	1.74527
-167.500000	-75.500000	9.18017
-166.500000	-75.500000	3.99818
-165.500000	-75.500000	7.90780
-164.500000	-75.500000	14.36582
-163.500000	-75.500000	17.31537
-162.500000	-75.500000	19.12372
-161.500000	-75.500000	15.05066
-160.500000	-75.500000	13.78424
-159.500000	-75.500000	9.64634
-158.500000	-75.500000	14.51502
-157.500000	-75.500000	38.92534
-156.500000	-75.500000	57.67909
-155.500000	-75.500000	75.25107
-154.500000	-75.500000	73.14950
-153.500000	-75.500000	4.96076
-152.500000	-75.500000	4.71801
-151.500000	-75.500000	5.64672
-150.500000	-75.500000	7.00501
-149.500000	-75.500000	3.84957
-148.500000	-75.500000	8.33249
-54.500000	-75.500000	728.36683
-53.500000	-75.500000	740.13980
-52.500000	-75.500000	726.66381
-51.500000	-75.500000	728.32208
-50.500000	-75.500000	734.95867
-49.500000	-75.500000	693.17401
-48.500000	-75.500000	695.16377
-47.500000	-75.500000	703.38632
-36.500000	-75.500000	17.32542
-35.500000	-75.500000	29.42297
-34.500000	-75.500000	23.52670
-33.500000	-75.500000	24.16233
-32.500000	-75.500000	21.05609
-31.500000	-75.500000	26.00915
-30.500000	-75.500000	31.82333
166.500000	-74.500000	21.28239
167.500000	-74.500000	27.93535
168.500000	-74.500000	24.95474
169.500000	-74.500000	46.25579
170.500000	-74.500000	29.87554
172.500000	-74.500000	49.93198
173.500000	-74.500000	50.46198
-185.500000	-74.500000	36.09148
-184.500000	-74.500000	34.51755
-177.500000	-74.500000	28.27648
-176.500000	-74.500000	0.30611
-175.500000	-74.500000	1.29811
-174.500000	-74.500000	0.59970
-173.500000	-74.500000	2.42868
-172.500000	-74.500000	3.52500
-171.500000	-74.500000	2.39829
-170.500000	-74.500000	0.99904
-169.500000	-74.500000	1.34312
-168.500000	-74.500000	0.72050
-167.500000	-74.500000	1.14320
-166.500000	-74.500000	1.91005
-165.500000	-74.500000	6.10382
-164.500000	-74.500000	14.40489
-163.500000	-74.500000	18.56782
-162.500000	-74.500000	15.42318
-161.500000	-74.500000	13.92499
-160.500000	-74.500000	15.30813
-159.500000	-74.500000	16.16480
-158.500000	-74.500000	19.83895
-157.500000	-74.500000	32.07828
-156.500000	-74.500000	42.43355
-155.500000	-74.500000	43.42834
-154.500000	-74.500000	37.71665
-153.500000	-74.500000	12.74670
-152.500000	-74.500000	7.42619
-151.500000	-74.500000	5.38741
-150.500000	-74.500000	6.05153
-149.500000	-74.500000	5.76353
-148.500000	-74.500000	7.72338
-147.500000	-74.500000	25.23714
-146.500000	-74.500000	37.89257
-145.500000	-74.500000	38.81350
-144.500000	-74.500000	43.17012
-143.500000	-74.500000	34.23302
-141.500000	-74.500000	45.01440
-140.500000	-74.500000	44.45451
-138.500000	-74.500000	88.68298
-59.500000	-74.500000	35.27179
-58.500000	-74.500000	28.12416
-57.500000	-74.500000	26.79017
-56.500000	-74.500000	31.24130
-55.500000	-74.500000	37.49831
-48.500000	-74.500000	57.56468
-47.500000	-74.500000	31.67547
