Longitude	Latitude	Potential Vorticity Q [10~^-~^1~^2 m~^-~^1 s~^-~^1] @ Depth [m]=first
165.500000	-77.500000	1253.18712
-178.500000	-77.500000	160.08097
-177.500000	-77.500000	197.62228
-176.500000	-77.500000	228.21398
-175.500000	-77.500000	238.14096
-174.500000	-77.500000	218.00519
-173.500000	-77.500000	204.86835
-172.500000	-77.500000	212.21778
-171.500000	-77.500000	190.62685
-170.500000	-77.500000	168.80514
-169.500000	-77.500000	145.23128
-168.500000	-77.500000	110.48150
-167.500000	-77.500000	90.34355
-166.500000	-77.500000	48.97107
-165.500000	-77.500000	6.77686
-164.500000	-77.500000	15.48748
-163.500000	-77.500000	25.11664
-162.500000	-77.500000	42.67456
-161.500000	-77.500000	73.14900
-160.500000	-77.500000	108.71533
-159.500000	-77.500000	143.31781
-44.500000	-77.500000	348.40441
-43.500000	-77.500000	366.07794
-42.500000	-77.500000	381.80790
-41.500000	-77.500000	409.73301
-40.500000	-77.500000	395.46890
-39.500000	-77.500000	221.16775
-38.500000	-77.500000	355.45838
-37.500000	-77.500000	743.52079
-36.500000	-77.500000	991.82225
-35.500000	-77.500000	1030.67388
164.500000	-76.500000	943.60972
165.500000	-76.500000	862.82085
166.500000	-76.500000	754.29706
167.500000	-76.500000	600.41103
168.500000	-76.500000	546.04974
169.500000	-76.500000	459.99335
170.500000	-76.500000	380.44320
171.500000	-76.500000	281.10040
172.500000	-76.500000	214.53463
173.500000	-76.500000	233.06055
-185.500000	-76.500000	181.10476
-184.500000	-76.500000	165.58598
-183.500000	-76.500000	171.97561
-182.500000	-76.500000	186.62493
-181.500000	-76.500000	209.03241
-180.500000	-76.500000	219.93796
-179.500000	-76.500000	225.65061
-178.500000	-76.500000	222.20157
-177.500000	-76.500000	261.66620
-176.500000	-76.500000	263.19666
-175.500000	-76.500000	254.74490
-174.500000	-76.500000	231.06509
-173.500000	-76.500000	221.37146
-172.500000	-76.500000	213.58117
-171.500000	-76.500000	198.64737
-170.500000	-76.500000	176.66027
-169.500000	-76.500000	129.95719
-168.500000	-76.500000	106.77989
-167.500000	-76.500000	79.72264
-166.500000	-76.500000	48.37264
-165.500000	-76.500000	27.33492
-164.500000	-76.500000	30.93360
-163.500000	-76.500000	42.82779
-162.500000	-76.500000	58.28422
-161.500000	-76.500000	82.95815
-160.500000	-76.500000	116.82109
-159.500000	-76.500000	150.13351
-158.500000	-76.500000	207.94464
-157.500000	-76.500000	292.44570
-156.500000	-76.500000	329.83980
-155.500000	-76.500000	327.60053
-154.500000	-76.500000	292.29395
-153.500000	-76.500000	300.84630
-152.500000	-76.500000	259.87356
-151.500000	-76.500000	209.45722
-49.500000	-76.500000	0.92210
-48.500000	-76.500000	10.24912
-47.500000	-76.500000	9.88249
-46.500000	-76.500000	2.87352
-45.500000	-76.500000	5.09756
-44.500000	-76.500000	226.19486
-43.500000	-76.500000	345.73510
-42.500000	-76.500000	425.23012
-41.500000	-76.500000	511.78025
-40.500000	-76.500000	543.37024
-39.500000	-76.500000	616.36540
-38.500000	-76.500000	688.17577
-37.500000	-76.500000	871.20006
-36.500000	-76.500000	1014.69364
-35.500000	-76.500000	1102.53872
-34.500000	-76.500000	1115.64723
-33.500000	-76.500000	1197.91566
-32.500000	-76.500000	1072.20648
-31.500000	-76.500000	1075.02110
164.500000	-75.500000	505.36730
165.500000	-75.500000	490.03635
166.500000	-75.500000	417.83518
167.500000	-75.500000	382.20226
168.500000	-75.500000	319.12770
169.500000	-75.500000	273.29826
170.500000	-75.500000	258.12682
171.500000	-75.500000	230.64952
172.500000	-75.500000	182.63513
173.500000	-75.500000	183.99937
-185.500000	-75.500000	164.98792
-184.500000	-75.500000	162.93408
-183.500000	-75.500000	174.87313
-182.500000	-75.500000	192.50732
-181.500000	-75.500000	208.99416
-180.500000	-75.500000	225.89290
-179.500000	-75.500000	237.08134
-178.500000	-75.500000	233.59833
-177.500000	-75.500000	236.35188
-176.500000	-75.500000	236.75374
-175.500000	-75.500000	234.98787
-174.500000	-75.500000	230.71257
-173.500000	-75.500000	207.85566
-172.500000	-75.500000	184.92721
-171.500000	-75.500000	161.91260
-170.500000	-75.500000	139.38113
-169.500000	-75.500000	116.63958
-168.500000	-75.500000	87.63282
-167.500000	-75.500000	70.74014
-166.500000	-75.500000	63.98515
-165.500000	-75.500000	54.69549
-164.500000	-75.500000	57.17543
-163.500000	-75.500000	61.64573
-162.500000	-75.500000	67.74366
-161.500000	-75.500000	79.07967
-160.500000	-75.500000	99.70387
-159.500000	-75.500000	119.05489
-158.500000	-75.500000	146.47463
-157.500000	-75.500000	188.85604
-156.500000	-75.500000	216.38785
-155.500000	-75.500000	227.58543
-154.500000	-75.500000	219.23927
-153.500000	-75.500000	207.19233
-152.500000	-75.500000	163.27164
-151.500000	-75.500000	78.25189
-150.500000	-75.500000	10.83843
-149.500000	-75.500000	15.11960
-148.500000	-75.500000	10.56218
-55.500000	-75.500000	6.69430
-54.500000	-75.500000	78.57532
-53.500000	-75.500000	113.13682
