/* DATA DESCRIPTION:
Citation:	Rafter, Patrick A; Herguera, Juan-Carlos; Southon, John R (2018): Foraminifera and wood 14C in the Gulf of California from sediment core ET97-7T. PANGAEA, https://doi.org/10.1594/PANGAEA.896309, 
	In supplement to: Rafter, PA et al. (2018): Extreme lowering of deglacial seawater radiocarbon recorded by both epifaunal and infaunal benthic foraminifera in a wood-dated sediment core. Climate of the Past, 14(12), 1977-1989, https://doi.org/10.5194/cp-14-1977-2018
Coverage:	LATITUDE: 22.900000 * LONGITUDE: -109.500000
	MINIMUM DEPTH, sediment/rock: 0.0800 m * MAXIMUM DEPTH, sediment/rock: 1.3325 m
Event(s):	ET97-7T * LATITUDE: 22.900000 * LONGITUDE: -109.500000 * ELEVATION: -640.0 m * LOCATION: Gulf of California * METHOD/DEVICE: Core (CORE)
Parameter(s):	Sample ID (Sample ID) * PI: Rafter, Patrick A (https://orcid.org/0000-0002-6352-7593, prafter@uci.edu)
	Depth, top/min [m] (Depth top) * PI: Rafter, Patrick A (https://orcid.org/0000-0002-6352-7593, prafter@uci.edu)
	Depth, bottom/max [m] (Depth bot) * PI: Rafter, Patrick A (https://orcid.org/0000-0002-6352-7593, prafter@uci.edu)
	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Rafter, Patrick A (https://orcid.org/0000-0002-6352-7593, prafter@uci.edu)
	Age, dated material (Dated material) * PI: Rafter, Patrick A (https://orcid.org/0000-0002-6352-7593, prafter@uci.edu) * METHOD/DEVICE: Age, 14C
	Age, dated [ka] (Age dated) * PI: Rafter, Patrick A (https://orcid.org/0000-0002-6352-7593, prafter@uci.edu) * METHOD/DEVICE: Age, 14C
	Age, dated standard error [±] (Age std e) * PI: Rafter, Patrick A (https://orcid.org/0000-0002-6352-7593, prafter@uci.edu) * METHOD/DEVICE: Age, 14C
	Calendar age [ka BP] (Cal age) * PI: Rafter, Patrick A (https://orcid.org/0000-0002-6352-7593, prafter@uci.edu) * METHOD/DEVICE: Age, 14C calibrated, CALIB 7.1 (Stuiver et al. 2017) (URI: http://calib.org/calib/)
	Calendar age, maximum/old [ka BP] (Cal age max) * PI: Rafter, Patrick A (https://orcid.org/0000-0002-6352-7593, prafter@uci.edu) * METHOD/DEVICE: Age, 14C calibrated, CALIB 7.1 (Stuiver et al. 2017) (URI: http://calib.org/calib/)
	Calendar age, minimum/young [ka BP] (Cal age min) * PI: Rafter, Patrick A (https://orcid.org/0000-0002-6352-7593, prafter@uci.edu) * METHOD/DEVICE: Age, 14C calibrated, CALIB 7.1 (Stuiver et al. 2017) (URI: http://calib.org/calib/)
	Analytical method (Method) * PI: Rafter, Patrick A (https://orcid.org/0000-0002-6352-7593, prafter@uci.edu)
	Comment (Comment) * PI: Rafter, Patrick A (https://orcid.org/0000-0002-6352-7593, prafter@uci.edu)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	310 data points
*/
Sample ID	Depth top [m]	Depth bot [m]	Depth [m]	Dated material	Age dated [ka]	Age std e [±]	Cal age [ka BP]	Cal age max [ka BP]	Cal age min [ka BP]	Method	Comment
160295	0.710	0.730	0.7200	Bolivina spp.	12.086	0.557					
160309	0.730	0.750	0.7400	Bolivina spp.	12.808	0.593					
160303	0.760	0.780	0.7700	Bolivina spp.	12.964	0.612					
160498	0.830	0.850	0.8400	Bolivina spp.	13.329	0.686					
160489	1.030	1.050	1.0400	Bolivina spp.	14.371	0.653					
176300	0.070	0.090	0.0800	mixed benthic foraminifera	1.380	0.024					
160089	0.710	0.730	0.7200	mixed benthic foraminifera	12.086	0.557					
160091	0.730	0.750	0.7400	mixed benthic foraminifera	12.808	0.593					
160093	0.760	0.780	0.7700	mixed benthic foraminifera	12.964	0.612					
160095	0.780	0.800	0.7900	mixed benthic foraminifera	13.068	0.644					
160101	0.810	0.830	0.8200	mixed benthic foraminifera	13.225	0.670					
160103	0.830	0.850	0.8400	mixed benthic foraminifera	13.329	0.686					
160148	0.860	0.880	0.8700	mixed benthic foraminifera	13.487	0.684					
160107	0.880	0.900	0.8900	mixed benthic foraminifera	13.592	0.695					
160119	0.910	0.930	0.9200	mixed benthic foraminifera	13.747	0.697					
160122	0.930	0.950	0.9400	mixed benthic foraminifera	13.851	0.704					
160124	0.960	0.980	0.9700	mixed benthic foraminifera	14.008	0.688					
160126	0.980	1.000	0.9900	mixed benthic foraminifera	14.111	0.686					
160132	1.010	1.030	1.0200	mixed benthic foraminifera	14.267	0.663					
160134	1.030	1.050	1.0400	mixed benthic foraminifera	14.371	0.653					
160136	1.060	1.080	1.0700	mixed benthic foraminifera	14.528	0.619					
160138	1.080	1.100	1.0900	mixed benthic foraminifera	14.631	0.600					
160491	0.730	0.750	0.7400	Planulina ariminensis	12.808	0.593					
160304	0.760	0.780	0.7700	Planulina ariminensis	12.964	0.612					
160499	0.830	0.850	0.8400	Planulina ariminensis	13.329	0.686					
15130, 15530, 16390	1.030	1.050	1.0400	Planulina ariminensis	14.371	0.653					average of several measurements
183760	1.210	1.230	1.2200	Planulina ariminensis	15.311	0.090					
183767	1.260	1.280	1.2700	Planulina ariminensis	18.000	0.579					
183769	1.280	1.300	1.2900	Planulina ariminensis	18.100	0.112					
183768	1.300	1.310	1.3050	Planulina ariminensis	18.588	0.760					
177321	1.310	1.325	1.3175	Planulina ariminensis	18.726	0.251					
183761	1.325	1.340	1.3325	Planulina ariminensis	18.949	0.055					
176298	0.070	0.090	0.0800	Uvigerina peregrina	1.380	0.024					
160320	0.670	0.690	0.6800	Uvigerina peregrina	6.473	0.185					
160294	0.710	0.730	0.7200	Uvigerina peregrina	12.086	0.557					
160302	0.760	0.780	0.7700	Uvigerina peregrina	12.964	0.612					
160497	0.830	0.850	0.8400	Uvigerina peregrina	13.329	0.686					
160488	1.030	1.050	1.0400	Uvigerina peregrina	14.371	0.653					
183759	1.210	1.230	1.2200	Uvigerina peregrina	15.311	0.090					
183770	1.260	1.280	1.2700	Uvigerina peregrina	18.000	0.579					
183772	1.280	1.300	1.2900	Uvigerina peregrina	18.100	0.112					
183774	1.300	1.310	1.3050	Uvigerina peregrina	18.588	0.760					
