"int_age","mean_all","sd_all","n_all","mean","sd","n","loess_fit","loess_se"
250,-193.3991511,6.95311928949371,2,-193.3991511,6.95311928949371,2,-197.758397311368,22.3096839583141
750,-194.9055889,0.681209419589663,2,-194.9055889,0.681209419589663,2,-196.47758411794,17.8913985547051
1250,-203.39815155,6.02706021691464,2,-203.39815155,6.02706021691464,2,-194.57291976934,14.8867237022297
1750,NA,NA,0,NA,NA,0,-191.915266552611,13.2602869106529
2250,-189.9151396,NA,1,NA,NA,0,-188.530110058238,12.7117436829777
2750,-181.490922583333,18.8031606112558,6,-181.490922583333,18.8031606112558,6,-184.523445145616,12.8149223228134
3250,NA,NA,0,NA,NA,0,-180.001266674136,13.186811389308
3750,-177.077298833333,12.1095534870556,3,-177.077298833333,12.1095534870556,3,-175.069569503192,13.5676587276282
4250,-164.1634096,50.4084172975799,2,-164.1634096,50.4084172975799,2,-169.834348492178,13.8049632995407
4750,-201.6065101,11.6721652508415,2,-201.6065101,11.6721652508415,2,-163.606697084004,13.5594848228484
5250,-131.7903727,38.737514758954,5,-131.7903727,38.737514758954,5,-156.257372760727,13.6212166695949
5750,-137.5138881,NA,1,NA,NA,0,-148.731866440463,14.7307538696995
6250,-148.60948495,15.4609133172997,2,-148.60948495,15.4609133172997,2,-141.975669041328,15.7807712470817
6750,-179.8362993,NA,1,NA,NA,0,-136.936714407085,15.3175830792428
7250,-116.070134335,29.2941629413327,2,-116.070134335,29.2941629413327,2,-133.115380243611,14.4847714983635
7750,-170.1711534,NA,1,NA,NA,0,-129.285823262182,14.5991236187096
8250,-82.004788975,91.8710179275684,6,-82.004788975,91.8710179275684,6,-124.222200174079,14.8295358902162
8750,-186.5214148,62.95802866619,2,-186.5214148,62.95802866619,2,-117.713685693167,13.7083133312086
9250,-115.937021506,42.5397910274575,5,-115.937021506,42.5397910274575,5,-110.596859082679,12.9758278658853
9750,-94.589270934,47.7616010998934,8,-94.589270934,47.7616010998934,8,-103.216983877946,13.2107774488072
10250,-81.8085364744286,48.0401550112218,14,-81.8085364744286,48.0401550112218,14,-93.5665818503205,12.7127049674672
10750,1.00483886,314.14344177645,15,-78.6888167214286,60.68765732488,14,-81.8409543121199,12.989077978344
11250,-73.3547009327059,45.2581697977694,17,-73.3547009327059,45.2581697977694,17,-71.6895341101272,13.7972695531886
11750,-71.2767823014211,55.7726829205532,19,-71.2767823014211,55.7726829205532,19,-66.72021968797,13.2130372179508
12250,-44.6856813715714,70.2451022591192,14,-44.6856813715714,70.2451022591192,14,-64.5756261891138,13.5948707089844
12750,-66.1096052352308,72.3901217550911,13,-66.1096052352308,72.3901217550911,13,-59.9572615100979,14.5850341375279
13250,-59.4486379746154,45.2745174716291,13,-59.4486379746154,45.2745174716291,13,-52.0957931522865,13.9635106357089
13750,-43.1390823922273,46.0109821599813,22,-43.1390823922273,46.0109821599813,22,-42.3234874622004,14.5850341375279
14250,-44.1992365700741,54.4008613292866,27,-44.1992365700741,54.4008613292866,27,-27.4603375760407,13.6460514645204
14750,-5.6938083604,67.6133355849126,15,-5.6938083604,67.6133355849126,15,-9.16455255635947,13.6460514645204
15250,30.8708288953077,48.9421967493875,13,30.8708288953077,48.9421967493875,13,7.45263754304292,14.5850341375279
15750,-2.136314224,89.5334861897045,7,-2.136314224,89.5334861897045,7,20.6820906604381,13.6460514645204
16250,55.8794727898333,46.2925384429702,6,55.8794727898333,46.2925384429702,6,32.5134171634296,13.6460514645204
16750,36.731950901,69.7073501979361,14,36.731950901,69.7073501979361,14,43.3835156422147,14.5850341375279
17250,62.2536542165556,97.3598382496497,9,62.2536542165556,97.3598382496497,9,54.0930787941694,13.6460514645204
17750,38.17417964675,41.7125825286063,8,38.17417964675,41.7125825286063,8,64.1672532322625,13.6460514645205
18250,60.89244524,19.892991043788,5,60.89244524,19.892991043788,5,72.1296184200801,14.5850341375279
18750,112.941437054444,40.2222428280825,9,112.941437054444,40.2222428280825,9,78.2494206653932,13.9635106357089
19250,77.408325055,62.7902144338431,16,77.408325055,62.7902144338431,16,82.3959794958976,14.5850341375279
19750,86.6005086490909,77.9389604991508,11,86.6005086490909,77.9389604991508,11,80.3124392956142,13.6390196382578
20250,73.09634426,63.4776177204063,11,73.09634426,63.4776177204063,11,74.9143811881909,12.8800734842791
20750,78.314465334,94.6246050771836,5,78.314465334,94.6246050771836,5,74.8841495765412,13.0128741501286
21250,55.10709883,35.3622677595856,4,55.10709883,35.3622677595856,4,81.4991035891819,12.7300085653533
21750,81.37311001,28.0206109209203,4,81.37311001,28.0206109209203,4,90.0088725358498,13.5444320809123
22250,83.8154579025,91.8835517320407,4,83.8154579025,91.8835517320407,4,100.054206091288,14.7129779212486
22750,123.892240066667,36.7224099278094,3,123.892240066667,36.7224099278094,3,111.386564241592,14.8901261019726
23250,NA,NA,0,NA,NA,0,124.054782865779,14.7584960725442
23750,69.70732707,NA,1,NA,NA,0,138.145675477973,14.4874405179567
24250,243.04444055,82.0647681424102,2,243.04444055,82.0647681424102,2,153.746055592296,14.2036470787563
24750,NA,NA,0,NA,NA,0,170.942736722871,14.0685659303137
25250,86.156718345,83.9047961828947,2,86.156718345,83.9047961828947,2,189.822532383823,14.4767774676083
25750,224.45560802,214.967587068279,5,224.45560802,214.967587068279,5,210.250444919611,16.2634199702039
26250,NA,NA,0,NA,NA,0,232.095546616299,20.0705180287746
26750,274.417671766667,93.5687598392869,3,274.417671766667,93.5687598392869,3,255.45075590042,25.8982061618571
