Gas age [ka BP]	δ13C CO2 [‰ PDB]	δ13C CO2 std dev [±]
0.445	-6.349	0.061
0.446	-6.349	0.061
0.447	-6.349	0.061
0.448	-6.349	0.061
0.449	-6.350	0.061
0.450	-6.350	0.061
0.451	-6.350	0.061
0.452	-6.350	0.061
0.453	-6.350	0.061
0.454	-6.350	0.060
0.455	-6.350	0.060
0.456	-6.350	0.060
0.457	-6.350	0.060
0.458	-6.350	0.060
0.459	-6.350	0.060
0.460	-6.350	0.060
0.461	-6.350	0.060
0.462	-6.350	0.060
0.463	-6.350	0.059
0.464	-6.350	0.059
0.465	-6.350	0.059
0.466	-6.350	0.059
0.467	-6.350	0.059
0.468	-6.350	0.059
0.469	-6.350	0.059
0.470	-6.350	0.059
0.471	-6.350	0.059
0.472	-6.350	0.059
0.473	-6.350	0.058
0.474	-6.350	0.058
0.475	-6.350	0.058
0.476	-6.351	0.058
0.477	-6.351	0.058
0.478	-6.351	0.058
0.479	-6.351	0.058
0.480	-6.351	0.058
0.481	-6.351	0.058
0.482	-6.351	0.058
0.483	-6.351	0.057
0.484	-6.351	0.057
0.485	-6.351	0.057
0.486	-6.351	0.057
0.487	-6.351	0.057
0.488	-6.351	0.057
0.489	-6.351	0.057
0.490	-6.351	0.057
0.491	-6.351	0.057
0.492	-6.351	0.057
0.493	-6.351	0.056
0.494	-6.351	0.056
0.495	-6.351	0.056
0.496	-6.351	0.056
0.497	-6.351	0.056
0.498	-6.351	0.056
0.499	-6.351	0.056
0.500	-6.351	0.056
0.501	-6.351	0.056
0.502	-6.351	0.056
0.503	-6.352	0.056
0.504	-6.352	0.055
0.505	-6.352	0.055
0.506	-6.352	0.055
0.507	-6.352	0.055
0.508	-6.352	0.055
0.509	-6.352	0.055
0.510	-6.352	0.055
0.511	-6.352	0.055
0.512	-6.352	0.055
0.513	-6.352	0.055
0.514	-6.352	0.055
0.515	-6.352	0.054
0.516	-6.352	0.054
0.517	-6.352	0.054
0.518	-6.352	0.054
0.519	-6.352	0.054
0.520	-6.352	0.054
0.521	-6.352	0.054
0.522	-6.352	0.054
0.523	-6.352	0.054
0.524	-6.352	0.054
0.525	-6.352	0.054
0.526	-6.352	0.054
0.527	-6.352	0.053
0.528	-6.352	0.053
0.529	-6.352	0.053
0.530	-6.352	0.053
0.531	-6.352	0.053
0.532	-6.352	0.053
0.533	-6.353	0.053
0.534	-6.353	0.053
0.535	-6.353	0.053
0.536	-6.353	0.053
0.537	-6.353	0.053
0.538	-6.353	0.053
0.539	-6.353	0.052
0.540	-6.353	0.052
0.541	-6.353	0.052
0.542	-6.353	0.052
0.543	-6.353	0.052
0.544	-6.353	0.052
