Ocean basin and water mass (along density surfaces; see text),calendar age bin (years BP),binned mean (all samples),binned standard deviation (all samples),n (all samples),binned standard error (all samples),binned mean (no outliers),binned standard deviation (no outliers),n (no outliers),binned standard error (no outliers),LOESS mean 14C ventilation age (years BP),LOESS SE 14C ventilation age (years BP)
ATLANTIC BOTTOM,250,1299,51,2,36,1299,51,2,36,1361,271
ATLANTIC BOTTOM,750,NA,NA,0,NA,NA,NA,0,NA,1242,224
ATLANTIC BOTTOM,1250,1192,364,2,257,1192,364,2,257,1135,190
ATLANTIC BOTTOM,1750,NA,NA,0,NA,NA,NA,0,NA,1042,167
ATLANTIC BOTTOM,2250,1045,319,4,160,1045,319,4,160,961,155
ATLANTIC BOTTOM,2750,NA,NA,0,NA,NA,NA,0,NA,893,153
ATLANTIC BOTTOM,3250,NA,NA,0,NA,NA,NA,0,NA,839,156
ATLANTIC BOTTOM,3750,955,89,3,51,955,89,3,51,797,162
ATLANTIC BOTTOM,4250,NA,NA,0,NA,NA,NA,0,NA,765,169
ATLANTIC BOTTOM,4750,232,234,3,135,232,234,3,135,742,175
ATLANTIC BOTTOM,5250,NA,NA,0,NA,NA,NA,0,NA,735,180
ATLANTIC BOTTOM,5750,NA,NA,0,NA,NA,NA,0,NA,748,184
ATLANTIC BOTTOM,6250,NA,NA,0,NA,NA,NA,0,NA,776,194
ATLANTIC BOTTOM,6750,794,583,3,337,794,583,3,337,812,207
ATLANTIC BOTTOM,7250,1114,786,2,555,1114,786,2,555,853,216
ATLANTIC BOTTOM,7750,NA,NA,0,NA,NA,NA,0,NA,903,210
ATLANTIC BOTTOM,8250,NA,NA,0,NA,NA,NA,0,NA,967,193
ATLANTIC BOTTOM,8750,NA,NA,0,NA,NA,NA,0,NA,1038,178
ATLANTIC BOTTOM,9250,NA,NA,0,NA,NA,NA,0,NA,1108,175
ATLANTIC BOTTOM,9750,NA,NA,0,NA,NA,NA,0,NA,1169,180
ATLANTIC BOTTOM,10250,1078,330,2,234,1078,330,2,234,1213,181
ATLANTIC BOTTOM,10750,1124,351,3,203,1124,351,3,203,1238,168
ATLANTIC BOTTOM,11250,1333,676,3,391,1333,676,3,391,1269,153
ATLANTIC BOTTOM,11750,1293,711,9,237,1293,711,9,237,1272,147
ATLANTIC BOTTOM,12250,1550,492,11,148,1550,492,11,148,1270,157
ATLANTIC BOTTOM,12750,1765,263,7,99,1765,263,7,99,1279,161
ATLANTIC BOTTOM,13250,739,324,8,115,739,324,8,115,1264,159
ATLANTIC BOTTOM,13750,1285,227,9,76,1285,227,9,76,1291,171
ATLANTIC BOTTOM,14250,1370,723,10,229,1370,723,10,229,1531,162
ATLANTIC BOTTOM,14750,1626,644,5,288,1626,644,5,288,1828,171
ATLANTIC BOTTOM,15250,2712,714,12,206,2712,714,12,206,2183,162
ATLANTIC BOTTOM,15750,2524,457,8,162,2524,457,8,162,2513,171
ATLANTIC BOTTOM,16250,2355,663,9,221,2355,663,9,221,2669,162
ATLANTIC BOTTOM,16750,3208,916,6,374,3208,916,6,374,2745,171
ATLANTIC BOTTOM,17250,2169,523,7,198,2169,523,7,198,2719,171
ATLANTIC BOTTOM,17750,3216,657,4,328,3216,657,4,328,2631,162
ATLANTIC BOTTOM,18250,2083,481,11,145,2083,481,11,145,2507,171
ATLANTIC BOTTOM,18750,2714,854,8,302,2714,854,8,302,2352,162
ATLANTIC BOTTOM,19250,1938,635,5,284,1938,635,5,284,2206,171
ATLANTIC BOTTOM,19750,2031,570,17,138,2031,570,17,138,2119,171
ATLANTIC BOTTOM,20250,2198,901,6,368,2198,901,6,368,2108,162
ATLANTIC BOTTOM,20750,2153,915,5,409,2153,915,5,409,2123,171
ATLANTIC BOTTOM,21250,2106,452,5,202,2106,452,5,202,2149,162
ATLANTIC BOTTOM,21750,2407,444,4,222,2407,444,4,222,2182,171
ATLANTIC BOTTOM,22250,1863,419,3,242,1863,419,3,242,2167,171
ATLANTIC BOTTOM,22750,2313,92,5,41,2313,92,5,41,2212,162
ATLANTIC BOTTOM,23250,2403,710,2,502,2403,710,2,502,2263,157
ATLANTIC BOTTOM,23750,1902,249,2,176,1902,249,2,176,2299,148
ATLANTIC BOTTOM,24250,2667,111,2,79,2667,111,2,79,2332,149
ATLANTIC BOTTOM,24750,2628,236,3,136,2628,236,3,136,2356,186
ATLANTIC BOTTOM,25250,2114,1693,3,978,2114,1693,3,978,2373,275
ATLANTIC BOTTOM,25750,NA,NA,0,NA,NA,NA,0,NA,NA,NA
ATLANTIC MID,250,1017,257,6,105,1017,257,6,105,988,146
ATLANTIC MID,750,872,292,5,130,872,292,5,130,953,119
ATLANTIC MID,1250,NA,NA,0,NA,NA,NA,0,NA,920,101
ATLANTIC MID,1750,NA,NA,0,NA,NA,NA,0,NA,892,93
ATLANTIC MID,2250,842,133,3,77,842,133,3,77,869,92
ATLANTIC MID,2750,NA,NA,0,NA,NA,NA,0,NA,850,94
ATLANTIC MID,3250,1059,80,2,57,1059,80,2,57,836,97
ATLANTIC MID,3750,NA,NA,0,NA,NA,NA,0,NA,826,100
ATLANTIC MID,4250,NA,NA,0,NA,NA,NA,0,NA,822,103
ATLANTIC MID,4750,NA,NA,0,NA,NA,NA,0,NA,823,104
ATLANTIC MID,5250,696,150,2,106,696,150,2,106,831,104
ATLANTIC MID,5750,NA,NA,0,NA,NA,NA,0,NA,853,100
ATLANTIC MID,6250,766,122,2,86,766,122,2,86,887,97
ATLANTIC MID,6750,975,422,2,298,975,422,2,298,917,97
ATLANTIC MID,7250,NA,NA,0,NA,NA,NA,0,NA,968,92
ATLANTIC MID,7750,NA,NA,0,NA,NA,NA,0,NA,1044,92
ATLANTIC MID,8250,1116,771,2,545,1116,771,2,545,1098,96
ATLANTIC MID,8750,977,473,3,273,977,473,3,273,1118,97
ATLANTIC MID,9250,1337,446,6,182,1337,446,6,182,1121,98
ATLANTIC MID,9750,NA,NA,0,NA,NA,NA,0,NA,1087,90
ATLANTIC MID,10250,1037,376,7,142,1037,376,7,142,1028,87
ATLANTIC MID,10750,1068,353,7,133,1068,353,7,133,990,92
ATLANTIC MID,11250,792,378,19,87,792,378,19,87,971,92
ATLANTIC MID,11750,863,252,15,65,863,252,15,65,989,86
