 ,degrees East,,,,,,,,,,,,,,,chro.meth [1=U-Th; 2=Wood/Tephra; 3=Plk 14C; 3.1=Plk+R 4=Match; 5=Plateau; 6=other],,,,,,,,,,,per mil,per mil,yr BP,yr BP,,,1=Atlantic; 2=Pacific; 3=Indian; 4=Southern,,,1= value is >3 sigma the binned mean value and not used in estimating basin average.,sorting (0=using for Rafter et al. 2022; 1=Not using for Holocene comparison (see note); 1.1=Not using for global dataset (not representative of basin average; see note); 1.2=Not using for global dataset (fails first dataset pre-treatment),sedimentation rate for deepest depth is assumed to be same as next shallower,chosen from closest GLODAP measurement and/or OCIM estimated value,"error is as reported from closest GLODAP measurement and/or OCIM or (if not) is ""5""", calculated from D14C, calculated from D14C.err,1=Zhao et al. 2018; 2=Skinner et al. 2017; 3=Rafter et al. 2022,,,,bias corrected 14C ventilation age,bias corrected 14C ventilation age error
latitude,longitude,water.depth,cal.age,cal.age.err,depth.dated.top,depth.date.bottom,depth.dated.mid,station,proxy.14C.age,proxy.14c.age.err,ams.ID.benthic,proxy.D14C,proxy.D14C.err,site.name,ref.,chro.meth,chro.meth.details,planktic.species,planktic.14C.age,planktic.14C.age.err,ams.ID.planktic,planktic.D14C,planktic.D14C.err,Delta.R,Delta.R.err,calib.method ,atmos.D14C,atmos.D14C.err,atmos.14C.age,atmos.14C.age.err,D14C.bias.correct,D14C.bias.correct.err,separate.the.basins,neutral.density,simple count,threesigma1,sort,sed.rate,DIC.D14C,DIC.D14C.err,DIC.D14C.age,DIC.D14C.age.err,comp.sort,unique sites,DELTA14Cage.atmos.RAW,DELTA14Cage.atmos.RAW.err,DELTA14Cage.atmos,DELTA14Cage.atmoserr
42,-29,1756.5,12910,120,-999,-999,-999,1,11860,60,LLNL,88.95744916,13.70738519,North Atlantic Seamounts,Adkins et al. (1998),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,209.5,3.1,11017,21,53,21,1,27.86,1,0,0,-999,-70.4,8.7,586,69,1,1,843,64,1156,64
42,-29,1756.5,13690,220,-999,-999,-999,1,12120,60,LLNL,158.5918159,13.27082829,North Atlantic Seamounts,Adkins et al. (1998),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200.3,3.8,11836,25,123,21,1,27.86,2,0,0,-999,-70.4,8.7,586,69,1,1,284,65,597,65
38,-62,1954,15510,230,-999,-999,-999,1,13980,40,LLNL,145.4675012,7.018561475,North Atlantic Seamounts,Adkins et al. (1998),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,303.5,7.3,12942,45,111,18,1,27.97,3,0,0,-999,-71.5,2.9,596,23,1,1,1038,60,1341,60
38,-62,1954,15410,230,-999,-999,-999,1,14120,40,LLNL,112.1426347,36.48584167,North Atlantic Seamounts,Adkins et al. (1998),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,293.8,6.5,12905,40,78,40,1,27.97,4,0,0,-999,-71.5,2.9,596,23,1,1,1215,57,1518,57
38,-60,1784,15500,110,-999,-999,-999,1,14060,40,LLNL,132.7454679,20.7138297,North Atlantic Seamounts,Adkins et al. (1998),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,302.9,7.2,12936,44,98,26,1,27.95,5,0,0,-999,-71.4,3.3,595,27,1,1,1124,59,1428,59
38,-60,1784,15400,110,-999,-999,-999,1,14500,50,LLNL,59.47548496,20.69312566,North Atlantic Seamounts,Adkins et al. (1998),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,292.6,6.3,12902,39,25,26,1,27.95,6,0,0,-999,-71.4,3.3,595,27,1,1,1598,63,1902,63
38,-60,1784,15510,170,-999,-999,-999,1,13850,40,LLNL,164.1556913,29.73943326,North Atlantic Seamounts,Adkins et al. (1998),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,303.5,7.3,12942,45,130,34,1,27.95,7,0,0,-999,-71.4,3.3,595,27,1,1,908,60,1212,60
38,-60,1784,15410,170,-999,-999,-999,1,14520,40,LLNL,58.12011679,27.03065649,North Atlantic Seamounts,Adkins et al. (1998),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,293.8,6.5,12905,40,24,32,1,27.95,8,0,0,-999,-71.4,3.3,595,27,1,1,1615,57,1919,57
38,-60,1784,15360,400,-999,-999,-999,1,14090,60,LLNL,109.5726129,62.00666953,North Atlantic Seamounts,Adkins et al. (1998),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,288.8,6.6,12887,41,75,64,1,27.95,9,0,0,-999,-71.4,3.3,595,27,1,1,1203,73,1507,73
