latitude,longitude,ref.,average_14C_age
-60.6,-66.0,Chen et al. (2015),1338.0
-60.2,-57.8,Burke and Robinson (2012),1428.0
-60.18333333,-57.83333333,Li et al. 2020,852.0
-59.8,-68.96666667,Li et al. 2020,993.375
-59.8,-68.9,Chen et al. (2015),1101.2
-59.7,-68.9,Burke and Robinson (2012),1023.0
-57.16666667,-66.1,Li et al. 2020,869.0
-54.7,-62.2,Burke and Robinson (2012),592.0
-54.5,-62.2,Burke and Robinson (2012),1284.0
-54.5,-62.16666667,Li et al. 2020,904.3333333333334
-50.3105,71.56766,Ronge et al. 2020,1255.9
-50.31033,71.5655,Ronge et al. 2020,1243.5
-44.8,174.5,Ronge et al. (2016),1561.0
-37.4,177.0,Rose et al. (2010),559.6666666666666
-36.542,-73.675,Fontaine et al. (2019) PP,2160.5
-36.42566667,-73.5955,Fontaine et al. (2019) PP,1513.25
-24.2,-43.3,Mangini et al. (2010),552.3333333333334
-22.4,-40.0,Mangini et al. (2010),1210.5
-4.260916667,-37.13738333,Skinner et al. (2021),1025.75
-3.749167,-81.134167,Bova et al. 2018,404.0
-1.252166667,-89.6845,Bova et al. 2018,2228.0
0.459,-90.712,Chen et al. 2020,1185.8823529411766
5.02,-77.63,Zhao and Keigwin 2018,1152.6923076923076
9.0,-21.3,Chen et al. (2015),1053.0
15.0,-48.0,Chen et al. (2015),862.5
18.0,57.6,Bryan et al. (2010),2130.7
18.3,57.7,Bryan et al. (2010),1842.8181818181818
22.51483333,-106.65,Arellano-Torres 2010 PhD Thesis,1492.35
23.6,-111.6,Lindsay et al. (2016),2061.823529411765
27.5,-112.1,Keigwin (2002),1242.8333333333333
29.8,-12.7,Schroder-Ritzrau et al. (2003),673.0
34.3,-120.0,Ingram and Kennett (1995),1086.6
34.3,-120.0,Magana et al. (2010),1179.2
34.3,-120.0,Sarnthein et al. (2007); Magana et al. (2010),1055.0
35.6,-121.6,van Geen et al. (1996),1273.75
41.7,-124.9,"Mix et al., 1999 / Barron et al. 2003",2271.25
41.7,142.6,Duplessy et al. (1989),1355.2857142857142
43.4,-60.2,Zhao 2017 Thesis,1450.0
47.0,-5.5,Schroder-Ritzrau et al. (2003),668.5
48.9,-126.9,McKay et al. (2005),2253.0
49.6,150.2,Cook and Keigwin (2015),2082.0
52.7,144.7,Max et al. (2014),1448.0
57.5,170.4,Max et al. (2014),1225.0
58.9,170.7,Max et al. (2014),1901.5
59.53166667,-144.1333333,Walczak et al. 2020,2000.0
59.6,-144.2,Davies-Walczak et al. (2014),1780.8947368421052
67.867,-21.76533333,"Voelker, A. H. L., Sarnthein, M., Grootes, P. M., Erlenkeuser, H., Laj, C., Mazaud, A., et al. (1998). Correlation of Marine 14C Ages from the Nordic Seas with the GISP2 Isotope Record: Implications for 14C Calibration Beyond 25 ka BP. Radiocarbon, 40(01), 517–534. https://doi.org/10.1017/S0033822200018397",140.33333333333334
